program,category,bn,name,principal,staffopen,studentopen,receiving_bn,receiving_name,receiving_principal,receiving_address,receiving_borough,receiving_zip,address,latitude,longitude,index
ALL GRADES,3,M696,BARD HIGH SCHOOL EARLY COLLEGE,MICHAEL LERNER,"Monday, November 5","Wednesday, November 7",Q735,QUEENS HIGH SCHOOL COMPLEX,,30-20 THOMSON AVENUE,QUEENS,,525 EAST HOUSTON STREET Manhattan NY 10002,40.718979,-73.976073,M696 ALL GRADES
GRADES PK-1,3,M126,P.S. 126 JACOB AUGUST RIIS,JACQUELINE GETZ,"Monday, November 5","Wednesday, November 7",M971,The Spruce Street Educational Campus,,12 SPRUCE STREET,MANHATTAN,,80 CATHERINE STREET Manhattan NY 10038,40.710827,-73.996651,M126 GRADES PK-1
GRADES 2-5,3,M126,P.S. 126 JACOB AUGUST RIIS,JACQUELINE GETZ,"Monday, November 5","Wednesday, November 7",M140,P.S. 140 Nathan Straus,,123 RIDGE STREET,MANHATTAN,,80 CATHERINE STREET Manhattan NY 10038,40.710827,-73.996651,M126 GRADES 2-5
GRADES 6-8,3,M126,P.S. 126 JACOB AUGUST RIIS,JACQUELINE GETZ,"Monday, November 5","Wednesday, November 7",M131,I.S. 131,,100 HESTER STREET,MANHATTAN,,80 CATHERINE STREET Manhattan NY 10038,40.710827,-73.996651,M126 GRADES 6-8
GRADES 6-9,3,M655,LIFE SCIENCES SECONDARY SCHOOL,GENEVIEVE STANISLAUS,"Monday, November 5","Wednesday, November 7",M096,P.S. 96,,216 EAST 120 STREET,MANHATTAN,,320 EAST  96 STREET Manhattan NY 10128,40.783806,-73.946074,M655 GRADES 6-9
GRADES 10-12,3,M655,LIFE SCIENCES SECONDARY SCHOOL,GENEVIEVE STANISLAUS,"Monday, November 5","Wednesday, November 7",M045,I.S. 45,,2351 1ST AVENUE,MANHATTAN,,320 EAST  96 STREET Manhattan NY 10128,40.783806,-73.946074,M655 GRADES 10-12
GRADES 9-10,3,M418,MILLENNIUM HIGH SCHOOL,COLIN MCEVOY,"Monday, November 5","Wednesday, November 7",M137,Shuang Wen (P.S. 184),,327 CHERRY STREET,MANHATTAN,,75 BROAD STREET Manhattan NY 10004,40.704749,-74.011541,M418 GRADES 9-10
"GRADES 11,12",3,M418,MILLENNIUM HIGH SCHOOL,COLIN MCEVOY,"Monday, November 5","Wednesday, November 7",M446,UNIVERSITY NEIGHBORHOOD,,200 MONROE STREET,MANHATTAN,,75 BROAD STREET Manhattan NY 10004,40.704749,-74.011541,"M418 GRADES 11,12"
ALL GRADES,3,M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,Edward Biedermann,"Monday, November 5","Wednesday, November 7",M520,MURRY BERGTRAUM HS (ECF),,411 PEARL STREET,MANHATTAN,,"10 SOUTH STREET, SLIP 7 Manhattan NY 10004",40.701656,-74.011789,M551 ALL GRADES
ALL GRADES,3,K015,P.S. 015 PATRICK F. DALY,PEGGY WYNS-MADISON,"Monday, November 5","Wednesday, November 7",K027,P.S. 27,,27 HUNTINGTON STREET,BROOKLYN,,71 SULLIVAN STREET Brooklyn NY 11231,40.677537,-74.011869,K015 ALL GRADES
ALL GRADES,3,K651,PAVE ACADEMY CHARTER SCHOOL,SPENCER ROBERTSON / JEREMY ABARNO,"Monday, November 5","Wednesday, November 7",PVT,NYCHA/PAL,,110 West 9th Street,BROOKLYN,,71 SULLIVAN STREET Brooklyn NY 11231,40.677537,-74.011869,K651 ALL GRADES
ALL GRADES,3,K211,I.S. 211 JOHN WILSON,CAROLYN JAMES,"Monday, November 5","Wednesday, November 7",K415,SAMUEL J. TILDEN HS,,5800 TILDEN AVENUE,BROOKLYN,,1001 EAST 100 STREET Brooklyn NY 11236,40.643351,-73.896287,K211 ALL GRADES
