School Name,School Name [Public School] 2010-11,School ID - NCES Assigned [Public School] 2010-11,Agency Name [Public School] 2010-11,Agency ID - NCES Assigned [Public School] 2010-11,County Name [Public School] 2010-11,County Number [Public School] 2010-11,Location Address [Public School] 2010-11,Location City [Public School] 2010-11,Location State Abbr [Public School] 2010-11,Location ZIP [Public School] 2010-11,Location ZIP4 [Public School] 2010-11,Phone Number [Public School] 2010-11,School Type [Public School] 2010-11,Agency Type [District] 2010-11,Operational Status [Public School] 2010-11,Charter School [Public School] 2010-11,Latitude [Public School] 2010-11,Longitude [Public School] 2010-11,State School ID [Public School] 2010-11,State Agency ID [Public School] 2010-11
"100 LEGACY ACADEMY CHARTER SCHOOL, NJ",100 LEGACY ACADEMY CHARTER SCHOOL,340074000000,100 LEGACY ACADEMY CHARTER SCHOOL,3400743,_,_,3587 SHOPRITE CENTER ROUTE 9,FREEHOLD,NJ,7728,,Ê,1-Regular school,7-Charter school agency,7-School to be operational within two years,1-Yes,0,0,959,806075
"2 SCHOOL, NY",2 SCHOOL,361683000000,LAWRENCE UNION FREE SCHOOL DISTRICT,3616830,NASSAU COUNTY,36059,1 DONAHUE AVE,INWOOD,NY,11096,1293,5162956200,1-Regular school,1-Local school district,1-Currently operational,2-No,40.616922,-73.748833,280215000000,280215000000
"4 SCHOOL, NY",4 SCHOOL,361683000000,LAWRENCE UNION FREE SCHOOL DISTRICT,3616830,NASSAU COUNTY,36059,WANSER AVE,INWOOD,NY,11096,,5162956400,1-Regular school,1-Local school district,1-Currently operational,2-No,40.616457,-73.742376,280215000000,280215000000
"5  6 SCHOOL, NJ",5  6 SCHOOL,340627000000,HACKENSACK,3406270,BERGEN COUNTY,34003,321 STATE ST,HACKENSACK,NJ,7601,5503,2016468170,1-Regular school,1-Local school district,1-Currently operational,2-No,40.888629,-74.042285,140,31860
"5 SCHOOL, NY",5 SCHOOL,361683000000,LAWRENCE UNION FREE SCHOOL DISTRICT,3616830,NASSAU COUNTY,36059,305 CEDARHURST AVE,CEDARHURST,NY,11516,1629,5162956500,1-Regular school,1-Local school district,1-Currently operational,2-No,40.625589,-73.726991,280215000000,280215000000
"51ST AVENUE ACADEMY (THE PATH TO ACADEMIC SUCCESS), NY",51ST AVENUE ACADEMY (THE PATH TO ACADEMIC SUCCESS),360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #24,3600098,QUEENS COUNTY,36081,7605 51ST AVE,ELMHURST,NY,11373,,7184295287,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.736808,-73.887488,342400000000,342400000000
"A  RUSSELL KNIGHT, NJ",A  RUSSELL KNIGHT,340300000000,CHERRY HILL TOWNSHIP,3403000,CAMDEN COUNTY,34007,OLD CARRIAGE RD,CHERRY HILL,NJ,8034,3398,8564280830,1-Regular school,1-Local school district,1-Currently operational,2-No,39.90031,-75.01142,58,70800
"A A ANASTASIA, NJ",A A ANASTASIA,340894000000,LONG BRANCH,3408940,MONMOUTH COUNTY,34025,92 SEVENTH AVE,LONG BRANCH,NJ,7740,6587,7322223428,1-Regular school,1-Local school district,1-Currently operational,2-No,40.30651,-73.996157,65,252770
"A A GATES ELEMENTARY SCHOOL, NY",A A GATES ELEMENTARY SCHOOL,362343000000,PORT BYRON CENTRAL SCHOOL DISTRICT,3623430,CAYUGA COUNTY,36011,30 MAPLE AVE,PORT BYRON,NY,13140,9647,3157765728,1-Regular school,1-Local school district,1-Currently operational,2-No,43.040321,-76.61882,51101040001,51101040000
"A A KINGSTON MIDDLE SCHOOL, NY",A A KINGSTON MIDDLE SCHOOL,362367000000,POTSDAM CENTRAL SCHOOL DISTRICT,3623670,ST. LAWRENCE COUNTY,36089,29 LEROY ST,POTSDAM,NY,13676,1787,3152652000,1-Regular school,1-Local school district,1-Currently operational,2-No,44.674261,-74.981428,512902000000,512902000000
"A C MAC KINNON MIDDLE, NJ",A C MAC KINNON MIDDLE,341788000000,WHARTON BOROUGH,3417880,MORRIS COUNTY,34027,137 EAST CENTRAL AVE,WHARTON,NJ,7885,2431,9733611253,1-Regular school,1-Local school district,1-Currently operational,2-No,40.894058,-74.574852,30,275770
